name,name_link,gender,state,state_link,position,appointed_by,appointed_by_link
John Jay,https://en.wikipedia.org/wiki/John_Jay,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Chief
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
John Rutledge,https://en.wikipedia.org/wiki/John_Rutledge,male,SC,https://en.wikipedia.org/wiki/South_Carolina,"Associate
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
William Cushing,https://en.wikipedia.org/wiki/William_Cushing,male,MA,https://en.wikipedia.org/wiki/Massachusetts,"Associate
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
James Wilson,https://en.wikipedia.org/wiki/James_Wilson,male,PA,https://en.wikipedia.org/wiki/Pennsylvania,"Associate
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
John Blair,https://en.wikipedia.org/wiki/John_Blair_Jr.,male,VA,https://en.wikipedia.org/wiki/Virginia,"Associate
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
James Iredell,https://en.wikipedia.org/wiki/James_Iredell,male,NC,https://en.wikipedia.org/wiki/North_Carolina,"Associate
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
Thomas Johnson,https://en.wikipedia.org/wiki/Thomas_Johnson_(jurist),male,MD,https://en.wikipedia.org/wiki/Maryland,"Associate
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
William Paterson,https://en.wikipedia.org/wiki/William_Paterson_(judge),male,NJ,https://en.wikipedia.org/wiki/New_Jersey,"Associate
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
John Rutledge,https://en.wikipedia.org/wiki/John_Rutledge,male,SC,https://en.wikipedia.org/wiki/South_Carolina,"Chief
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
Samuel Chase,https://en.wikipedia.org/wiki/Samuel_Chase,male,MD,https://en.wikipedia.org/wiki/Maryland,"Associate
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
Oliver Ellsworth,https://en.wikipedia.org/wiki/Oliver_Ellsworth,male,CT,https://en.wikipedia.org/wiki/Connecticut,"Chief
Justice",George Washington,https://en.wikipedia.org/wiki/George_Washington
Bushrod Washington,https://en.wikipedia.org/wiki/Bushrod_Washington,male,VA,https://en.wikipedia.org/wiki/Virginia,"Associate
Justice",John Adams,https://en.wikipedia.org/wiki/John_Adams
Alfred Moore,https://en.wikipedia.org/wiki/Alfred_Moore,male,NC,https://en.wikipedia.org/wiki/North_Carolina,"Associate
Justice",John Adams,https://en.wikipedia.org/wiki/John_Adams
John Marshall,https://en.wikipedia.org/wiki/John_Marshall,male,VA,https://en.wikipedia.org/wiki/Virginia,"Chief
Justice",John Adams,https://en.wikipedia.org/wiki/John_Adams
William Johnson,https://en.wikipedia.org/wiki/William_Johnson_(judge),male,SC,https://en.wikipedia.org/wiki/South_Carolina,"Associate
Justice",Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson
Henry Brockholst Livingston,https://en.wikipedia.org/wiki/Henry_Brockholst_Livingston,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson
Thomas Todd,https://en.wikipedia.org/wiki/Thomas_Todd,male,KY,https://en.wikipedia.org/wiki/Kentucky,"Associate
Justice",Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson
